Departamento,Dg12,Dg15,Dg25,Dg26,Dg27,Dg29,Dg31,Dg32,Dg33,Dg34,Dg35,Dg36,Dg37,Dg38,Dg39,Dg40,Dg41,Dg42,Dg43,Dg44
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.66,3.1,7.3,4,2.2,1.2,11.6,23,18,10,14,8,12,29
Madriz,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.4,2.7,7.1,3.4,4.9,1.9,15,19,20,9,14,8,13,29
Madriz,Hembra,Pequeña,Amarillo,Rojo,Rojo,Otro,1.39,2.9,7.4,2.8,3,2.5,14,20,19,9,12,7,14,29
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.41,3,7.2,3.9,1.4,1,15,22,20,12,14,7,14,29
Nueva Segovia,Hembra,Pequeña,Amarillo,Rojo,Rojo,Otro,1.25,3.1,7.2,3.2,1.8,1.8,14,19,20,11,13,8,14,29
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,2,3,7.9,4,2,2,12,19,20,11,16,8,14,29
Estelí,Macho,Pequeña,Rojo,Rojo,Rojo,Amarillo,1.5,3,8,3.8,1.5,1.5,16,23,25,11,16.5,8,14,29
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.47,2.8,6.8,2.5,2.7,1.5,16,19,19,9.5,12,6,14.5,29
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Otro,1.96,2.9,7.2,3.2,2.3,1.8,15,21,19,8.5,11,5.5,15,29
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.19,2.6,7.2,3.1,2,2,15,18,19,9,11.5,6,15,29
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.67,2.8,7.4,2.9,3,1.5,16.5,21,21,9.5,11,6.5,15,29
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Otro,1.29,2.9,8,3.4,1.5,1.5,12,21,20,10,13,7,15,29
Estelí,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.56,2.9,7.3,3.3,2.3,1.4,14,21,21,11,14,7,15,29
Nueva Segovia,Hembra,Grande,Amarillo,Rojo,Rojo,Blanco,2.04,3,8,4,2,2,14,25,19,12,14,8,15,29
Estelí,Macho,Pequeña,Amarillo,Rojo,Rojo,Blanco,1.5,3,7,3.3,1.4,1.4,11,19,20,10,12,9,15,29
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Blanco,1.89,2.7,7.6,3.2,2,2,15,19,19,8.5,12,6.5,16,29
Estelí,Hembra,Grande,Amarillo,Rojo,Rojo,Amarillo,2.01,2.8,8.1,3.2,1,1.5,16,19,20,9.5,12.5,6.5,16,29
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.62,2.8,7.3,3.2,2,1.5,15.5,17,18,8,10.5,7,16,29
Estelí,Macho,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.26,2.8,7.7,3.8,2.5,1.5,16,21,21,9,11.5,7,16,29
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.65,2.9,7.4,3.2,3,2,13.5,21,20,10,11.5,7,16,29
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.58,3,7.9,3.2,2.4,1.1,15,21,21,13,15,7,16,29
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.7,3,7,3.5,2,2,13,20,21,10,14,8,16,29
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.4,3,7,3.8,1.1,1,12,19,20,11,14,8,16,29
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Otro,1.7,2.5,7.9,3.6,1.5,1.5,14,23,24,11,15,8,16,29
Nueva Segovia,Hembra,Pequeña,Amarillo,Rojo,Rojo,Amarillo,1.33,2.8,7.3,4,2,1.2,13,19,18,11,12,9,16,29
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.42,2.9,7.7,3.2,3,1.5,16,21,21,10,11,6,16.5,29
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.72,2.9,7.8,3.1,3,2,18,20,21,9.5,12,7,17,29
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.5,2.7,6.7,3.6,2.1,2.1,15,21,21,10,12,7,17,29
Estelí,Hembra,Mediana,Amarillo,Rojo,Rojo,Verde,1.9,2.7,7.6,3.4,2.3,1.3,13,21,21,10,13.5,7,17,29
Nueva Segovia,Hembra,Mediana,Amarillo,Rojo,Rojo,Amarillo,1.37,3.1,7.1,3.2,2.1,2.1,15,22,21,10,14,7,17,29
